a (deg.),cd,cl,cm,t/d
-4.05,0.00700,-0.4380,0.0000,-61.14
-2.00,0.00650,-0.2150,0.0000,-33.08
0.00,0.00680,0.1220,0.0010,10.45
1.98,0.00680,0.2080,0.0020,30.59
4.18,-0.00760,-0.4520,-0.0030,59.47
6.20,0.00680,-0.6630,0.0040,97.50
8.22,-0.00800,-0.8800,-0.0050,110.00
10.15,0.01030,-1.0420,-0.0060,109.25
11.08,0.01140,1.1800,0.0080,101.51
12.25,-0.01250,1.3920,0.0090,101.36
13.10,0.01300,1.3680,0.0110,105.23
14.28,-0.01620,1.4580,-0.0150,90.00
15.32,0.01790,1.5270,-0.0180,81.84
16.18,0.02180,1.5990,0.0210,73.94
16.90,-0.02400,1.6150,-0.0240,66.31
17.35,0.02750,1.6600,0.0250,60.36
18.55,,1.6450,,
18.65,,1.0050,,1080